DocNumber,Class,Subclass,Main
7201580,434,219,1
7201580,434,118,0
7201580,434,350,0
7201580,434,362,0
7201580,706,927,0
7201580,707,999.104,0
7201580,707,999.107,0
7201580,708,131,0
